route_name,order,km_marker,landmark_name
Buhangin via JP Laurel Avenue,10,10.0,Guerrero cor. Magsaysay Ave.
Buhangin via JP Laurel Avenue,11,11.0,F. Bangoy cor. Magsaysay Ave.
Buhangin via JP Laurel Avenue,12,12.0,Magsaysay Ave. (Park)
Buhangin via Dacudao,1,1.0,U-One Trading (Buhangin)
Buhangin via Dacudao,2,2.0,NHA Crossing (San Antonio Buhangin)
Buhangin via Dacudao,3,3.0,San Antonio VII (front GSIS)
Buhangin via Dacudao,4,4.0,Davao Exec. Homes (Quimpo Blvd.)
Buhangin via Dacudao,5,5.0,SM City Davao
Buhangin via Dacudao,6,6.0,Philhealth Office
Buhangin via Dacudao,7,7.0,Agro School Foundation
Buhangin via Dacudao,8,8.0,Almendras Gym
Buhangin via Dacudao,9,9.0,BPI (Claveria)
Buhangin via Dacudao,10,10.0,Guerrero cor. Magsaysay Ave.
Buhangin via Dacudao,11,11.0,F. Bangoy cor. Magsaysay Ave.
Buhangin via Dacudao,12,12.0,Magsaysay Ave. (Park)
Baracatan / Toril / Darong,1,1.0,Baracatan
Baracatan / Toril / Darong,2,2.0,Toril
Baracatan / Toril / Darong,3,3.0,Darong
Baracatan / Toril / Darong,4,4.0,Victoria Plaza
Baracatan / Toril / Darong,5,5.0,Gaisano Mall
Baracatan / Toril / Darong,6,6.0,Regina Complex
Baracatan / Toril / Darong,7,7.0,Corner San Pedro & Iñigo (Anda) Sts.
Baracatan / Toril / Darong,8,8.0,Bankerohan
Bangkas Heights,1,1.0,Bangkas Heights
Bangkas Heights,2,2.0,Victoria Plaza
Bangkas Heights,3,3.0,Gaisano Mall
Bangkas Heights,4,4.0,Regina Complex
Bangkas Heights,5,5.0,Corner San Pedro & Iñigo (Anda) Sts.
Bangkas Heights,6,6.0,Bankerohan 
