route_name,origin,destination,distance_km
Communal / Country Homes,Kingdom Hall (Jehovah),Bankerohan,9.0
Communal / Country Homes,Buhangin Memorial Park,Milan,1.0
Communal / Country Homes,Buhangin Memorial Park,Watusi St.,2.0
Communal / Country Homes,Buhangin Memorial Park,DLPC Bajada,3.0
Communal / Country Homes,Buhangin Memorial Park,Victoria Plaza,4.0
Communal / Country Homes,Buhangin Memorial Park,Gaisano Mall,5.0
Communal / Country Homes,Buhangin Memorial Park,Regina Complex,6.0
Communal / Country Homes,Buhangin Memorial Park,Corner San Pedro & Iñigo (Anda) Sts.,7.0
Communal / Country Homes,Buhangin Memorial Park,Bankerohan,8.0
Communal / Country Homes,Milan,Watusi St.,1.0
Communal / Country Homes,Milan,DLPC Bajada,2.0
Communal / Country Homes,Milan,Victoria Plaza,3.0
Communal / Country Homes,Milan,Gaisano Mall,4.0
Communal / Country Homes,Milan,Regina Complex,5.0
Communal / Country Homes,Milan,Corner San Pedro & Iñigo (Anda) Sts.,6.0
Communal / Country Homes,Milan,Bankerohan,7.0
Communal / Country Homes,Watusi St.,DLPC Bajada,1.0
Communal / Country Homes,Watusi St.,Victoria Plaza,2.0
Communal / Country Homes,Watusi St.,Gaisano Mall,3.0
Communal / Country Homes,Watusi St.,Regina Complex,4.0
Communal / Country Homes,Watusi St.,Corner San Pedro & Iñigo (Anda) Sts.,5.0
Communal / Country Homes,Watusi St.,Bankerohan,6.0
Communal / Country Homes,DLPC Bajada,Victoria Plaza,1.0
Communal / Country Homes,DLPC Bajada,Gaisano Mall,2.0
Communal / Country Homes,DLPC Bajada,Regina Complex,3.0
Communal / Country Homes,DLPC Bajada,Corner San Pedro & Iñigo (Anda) Sts.,4.0
Communal / Country Homes,DLPC Bajada,Bankerohan,5.0
Communal / Country Homes,Victoria Plaza,Gaisano Mall,1.0
Communal / Country Homes,Victoria Plaza,Regina Complex,2.0
Communal / Country Homes,Victoria Plaza,Corner San Pedro & Iñigo (Anda) Sts.,3.0
Communal / Country Homes,Victoria Plaza,Bankerohan,4.0
Communal / Country Homes,Gaisano Mall,Regina Complex,1.0
Communal / Country Homes,Gaisano Mall,Corner San Pedro & Iñigo (Anda) Sts.,2.0
Communal / Country Homes,Gaisano Mall,Bankerohan,3.0
Communal / Country Homes,Regina Complex,Corner San Pedro & Iñigo (Anda) Sts.,1.0
Communal / Country Homes,Regina Complex,Bankerohan,2.0
Communal / Country Homes,Corner San Pedro & Iñigo (Anda) Sts.,Bankerohan,1.0
Dacoville,San Antonio VII (front GSIS),Davao Exec. Homes (Quimpo Blvd.),1.0
Dacoville,San Antonio VII (front GSIS),SM City Davao,2.0
Dacoville,San Antonio VII (front GSIS),Philhealth Office,3.0
Dacoville,San Antonio VII (front GSIS),Agro School Foundation,4.0
Dacoville,San Antonio VII (front GSIS),Almendras Gym,5.0
Dacoville,San Antonio VII (front GSIS),BPI (Claveria),6.0
Dacoville,San Antonio VII (front GSIS),Guerrero cor. Magsaysay Ave.,7.0
Dacoville,San Antonio VII (front GSIS),F. Bangoy cor. Magsaysay Ave.,8.0
Dacoville,San Antonio VII (front GSIS),Magsaysay Ave. (Park),9.0
Dacoville,Davao Exec. Homes (Quimpo Blvd.),SM City Davao,1.0
Dacoville,Davao Exec. Homes (Quimpo Blvd.),Philhealth Office,2.0
Dacoville,Davao Exec. Homes (Quimpo Blvd.),Agro School Foundation,3.0
Dacoville,Davao Exec. Homes (Quimpo Blvd.),Almendras Gym,4.0
Dacoville,Davao Exec. Homes (Quimpo Blvd.),BPI (Claveria),5.0
Dacoville,Davao Exec. Homes (Quimpo Blvd.),Guerrero cor. Magsaysay Ave.,6.0
Dacoville,Davao Exec. Homes (Quimpo Blvd.),F. Bangoy cor. Magsaysay Ave.,7.0
Dacoville,Davao Exec. Homes (Quimpo Blvd.),Magsaysay Ave. (Park),8.0
Dacoville,SM City Davao,Philhealth Office,1.0
Dacoville,SM City Davao,Agro School Foundation,2.0
Dacoville,SM City Davao,Almendras Gym,3.0
Dacoville,SM City Davao,BPI (Claveria),4.0
Dacoville,SM City Davao,Guerrero cor. Magsaysay Ave.,5.0
Dacoville,SM City Davao,F. Bangoy cor. Magsaysay Ave.,6.0
Dacoville,SM City Davao,Magsaysay Ave. (Park),7.0
Dacoville,Philhealth Office,Agro School Foundation,1.0
Dacoville,Philhealth Office,Almendras Gym,2.0
Dacoville,Philhealth Office,BPI (Claveria),3.0
Dacoville,Philhealth Office,Guerrero cor. Magsaysay Ave.,4.0
Dacoville,Philhealth Office,F. Bangoy cor. Magsaysay Ave.,5.0
Dacoville,Philhealth Office,Magsaysay Ave. (Park),6.0
Dacoville,Agro School Foundation,Almendras Gym,1.0
Dacoville,Agro School Foundation,BPI (Claveria),2.0
Dacoville,Agro School Foundation,Guerrero cor. Magsaysay Ave.,3.0
Dacoville,Agro School Foundation,F. Bangoy cor. Magsaysay Ave.,4.0
Dacoville,Agro School Foundation,Magsaysay Ave. (Park),5.0
Dacoville,Almendras Gym,BPI (Claveria),1.0
Dacoville,Almendras Gym,Guerrero cor. Magsaysay Ave.,2.0
Dacoville,Almendras Gym,F. Bangoy cor. Magsaysay Ave.,3.0
Dacoville,Almendras Gym,Magsaysay Ave. (Park),4.0
Dacoville,BPI (Claveria),Guerrero cor. Magsaysay Ave.,1.0
Dacoville,BPI (Claveria),F. Bangoy cor. Magsaysay Ave.,2.0
Dacoville,BPI (Claveria),Magsaysay Ave. (Park),3.0
Dacoville,Guerrero cor. Magsaysay Ave.,F. Bangoy cor. Magsaysay Ave.,1.0
Dacoville,Guerrero cor. Magsaysay Ave.,Magsaysay Ave. (Park),2.0
Dacoville,F. Bangoy cor. Magsaysay Ave.,Magsaysay Ave. (Park),1.0
Darong Route,Baracatan,Toril,1.0
Darong Route,Baracatan,Victoria Plaza,2.0
Darong Route,Baracatan,Gaisano Mall,3.0
Darong Route,Baracatan,Regina Complex,4.0
Darong Route,Baracatan,Corner San Pedro & Iñigo (Anda) Sts.,5.0
Darong Route,Baracatan,Bankerohan,6.0
Darong Route,Toril,Victoria Plaza,1.0
Darong Route,Toril,Gaisano Mall,2.0
Darong Route,Toril,Regina Complex,3.0
Darong Route,Toril,Corner San Pedro & Iñigo (Anda) Sts.,4.0
Darong Route,Toril,Bankerohan,5.0
Darong Route,Victoria Plaza,Gaisano Mall,1.0
Darong Route,Victoria Plaza,Regina Complex,2.0
Darong Route,Victoria Plaza,Corner San Pedro & Iñigo (Anda) Sts.,3.0
Darong Route,Victoria Plaza,Bankerohan,4.0
Darong Route,Gaisano Mall,Regina Complex,1.0
Darong Route,Gaisano Mall,Corner San Pedro & Iñigo (Anda) Sts.,2.0
Darong Route,Gaisano Mall,Bankerohan,3.0
Darong Route,Regina Complex,Corner San Pedro & Iñigo (Anda) Sts.,1.0
Darong Route,Regina Complex,Bankerohan,2.0
Darong Route,Corner San Pedro & Iñigo (Anda) Sts.,Bankerohan,1.0 
